ID,Code,COMPANY,INDUSTRY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,REVENUE,EMPLOYEE,$/EMPL,CONTACT,POS,EMAIL
S,,1 Source Solar,Turn-Key Solar Solutions,3020 SW Oralabor Rd #116,Ankeny,IA,50023,(515)-289-1974,http://1sourcesolar.com/,5.3,25,0.21,Todd Miller ,President,todd@1sourcesolar.com
S,,21st Century Power Solutions,Telecommunication and Solar Solutions,418 Oella Ave Ste A,Catonsville,MD,21228,(410) 418-5650,https://www.21cps.com/,5.2,25,0.21,Glenn Miller,"Vice President, Electrical Division",info@21cps.com
F,,"2R Automation, LLC","implementing current technology into the electrical, hydraulic, and mechanical systems",11026 Split Oak Dr,West Olive,MI,49460,(616) 406 - 7085,https://2rautomation.com/,5,25,0.20,Rodney Rotman,President,rodney.rotman@2rautomation.com
M ,,4-Star Hose & Supply,Hose Products,10704 Composite Dr,Dallas,TX,75220,(214) 351-6085,https://4starhose.com/,10,113,0.09,Brent Culhane,Vice President,brent@4starhose.com
I,,4TEC,Intregrated Technology,4611 S 96th St. Ste 128,Omaha,NE,68127,(402) 334-9119,http://www.4tecintegration.com/,6.5,25,0.26,Chuck Miller,President,cmiller@4tecintegration.com
I,,"4th Vector Technologies, LLC",Industrial Machine Vision and Deep Learning technology,3209 Gresham Lake Rd Ste 147,Raleigh,NC,27615,(919) 746-7720,https://4thvectortech.com/,5,25,0.20,Rob Couture,CTO,4info@4thVectorTech.com
I,,6 Sigma Automation,"Control Panels, Programming, Machine Fabrication, SCADA Systems and Data Acquisition, System Integration, Troubleshooting",216 Slemp Ln,Elizabethton,TN,37643,(423) 895-0202,https://www.6sigmaautomation.com/,1,6,0.17,Tom Howell and Jacob Howell,Owners,
S,,7X Energy,C&R,3809 Juniper Trce Ste 100,Austin,TX,78738,(866) 298-1632,https://www.linkedin.com/company/7x-energy-inc./,5,35,0.14,Clay Butler,CEO,clay@7x.energy
I,,A & A Control System Consulting LLC,"SCADA system consulting, SCADA project support, preventive maintenance, specialized services, analysis and programming",366 Den Rd,Stamford,CT,6903,(203) 295-0276,aasystemscontrol.com,1,25,0.04,Joseph Palermo,President,Josephpalermo@att.net
M,,AA Fluid Power Services,Hydraulic repair service,120 Parr St.,Sumiton,AL,35148,(205) 648 - 7272,https://www.aafps.com/,1.4,11,0.13,Jim Langley,President,jmlangley@aafps.com
N,,A & H Hose and Fitting,Air tools & tool equipment rental market,6115 State Route 366,Huntsville,OH,43324,(937) 842-3208,https://www.ahhoseandfittings.com,5,4,1.25,Timothy Hart,President,tim@ahhose.com
